what,kind,bundleId,bundleVersion,description,time
started,bundle,com.genuitec.eclipse.easie.sunglassfish2,8.5.0.me201003121946,"com.genuitec.eclipse.easie.sunglassfish2",1299496274921
started,bundle,com.genuitec.eclipse.easie.sunglassfish3,8.5.0.me201003121946,"com.genuitec.eclipse.easie.sunglassfish3",1299496274921
started,bundle,com.genuitec.eclipse.easie.sunglassfishv3final,8.5.0.me201003121946,"com.genuitec.eclipse.easie.sunglassfishv3final",1299496274937
started,bundle,com.genuitec.eclipse.easie.sunwebserver,8.5.0.me201003250241,"com.genuitec.eclipse.easie.sunwebserver",1299496274953
started,bundle,com.genuitec.eclipse.easie.tomcat,8.5.0.me201003190322,"com.genuitec.eclipse.easie.tomcat",1299496275000
started,bundle,com.genuitec.eclipse.easie.tcserver,8.5.0.me201003161551,"com.genuitec.eclipse.easie.tcserver",1299496275000
started,bundle,com.genuitec.eclipse.easie.tcserver6,8.5.0.me201003121946,"com.genuitec.eclipse.easie.tcserver6",1299496275015
error,log,,,"Plug-in ""com.genuitec.eclipse.easie.tomcat.myeclipse"" was unable to instantiate class ""com.genuitec.eclipse.easie.tomcat.myeclipse.MyEclipseTomcatLauncherPlugin"".",1299496275046
error,log,,,"Problems encountered starting up plug-in: ""org.osgi.framework.BundleException: Exception in org.eclipse.core.internal.compatibility.PluginActivator.start() of bundle com.genuitec.eclipse.easie.tomcat.myeclipse."".",1299496275062
error,log,,,"Unhandled Exception",1299496275062
error,log,,,"Unable to execute early startup code for an extension",1299496275062
stopped,bundle,com.genuitec.eclipse.easie.tomcat.myeclipse,8.5.0.me201003121946,"com.genuitec.eclipse.easie.tomcat.myeclipse",1299496275062
error,log,,,"Bad extension specification",1299496275062
error,log,,,"startup class must implement org.eclipse.ui.IStartup",1299496275062
started,bundle,com.genuitec.eclipse.easie.tomcat4,8.5.0.me201003121946,"com.genuitec.eclipse.easie.tomcat4",1299496275062
started,bundle,com.genuitec.eclipse.easie.tomcat5,8.5.0.me201003121946,"com.genuitec.eclipse.easie.tomcat5",1299496275078
started,bundle,com.genuitec.eclipse.easie.tomcat6,8.5.0.me201003121946,"com.genuitec.eclipse.easie.tomcat6",1299496275078
started,bundle,com.genuitec.eclipse.easie.weblogic,8.5.0.me201003190322,"com.genuitec.eclipse.easie.weblogic",1299496275125
started,bundle,com.genuitec.eclipse.easie.weblogic10,8.5.0.me201003121946,"com.genuitec.eclipse.easie.weblogic10",1299496275140
started,bundle,com.genuitec.eclipse.easie.weblogic6,8.5.0.me201003121946,"com.genuitec.eclipse.easie.weblogic6",1299496275171
started,bundle,com.genuitec.eclipse.easie.weblogic7,8.5.0.me201003121946,"com.genuitec.eclipse.easie.weblogic7",1299496275203
started,bundle,com.genuitec.eclipse.easie.weblogic8,8.5.0.me201003121946,"com.genuitec.eclipse.easie.weblogic8",1299496275218
started,bundle,com.genuitec.eclipse.easie.weblogic9,8.5.0.me201003121946,"com.genuitec.eclipse.easie.weblogic9",1299496275250
started,bundle,com.genuitec.eclipse.easie.websphere,8.5.0.me201003190322,"com.genuitec.eclipse.easie.websphere",1299496275296
started,bundle,com.genuitec.eclipse.easie.websphere.wasce,8.5.0.me201003121946,"com.genuitec.eclipse.easie.websphere.wasce",1299496275359
