what,kind,bundleId,bundleVersion,description,time
started,bundle,com.genuitec.eclipse.wdt.jsp.debug,8.5.0.me201003052220,"com.genuitec.eclipse.wdt.jsp.debug",1299496353250
started,bundle,org.eclipse.gef,3.5.0.v20090528-1511,"org.eclipse.gef",1299496353265
started,bundle,org.eclipse.wst.common.snippets,1.1.300.v200903120643,"org.eclipse.wst.common.snippets",1299496353265
started,bundle,com.iw.plugins.spindle.ui,8.5.0.me201003161550,"com.iw.plugins.spindle.ui",1299496353265
started,bundle,com.genuitec.eclipse.templates,8.5.0.me201003052220,"com.genuitec.eclipse.templates",1299496353281
started,bundle,com.genuitec.eclipse.wizards,8.5.0.me201003052220,"com.genuitec.eclipse.wizards",1299496353281
started,bundle,com.genuitec.myeclipse.compatibility,8.5.0.me201003052220,"com.genuitec.myeclipse.compatibility",1299496353296
started,bundle,com.genuitec.myeclipse.icefaces,8.5.0.me201003121946,"com.genuitec.myeclipse.icefaces",1299496353296
started,bundle,org.eclipse.atf.mozilla.ide.debug.ui,0.2.2.me201003052220,"org.eclipse.atf.mozilla.ide.debug.ui",1299496353343
started,bundle,org.eclipse.dltk.core,1.0.0.me201003052220,"org.eclipse.dltk.core",1299496353828
started,bundle,org.eclipse.dltk.launching,2.0.0.me201003052220,"org.eclipse.dltk.launching",1299496353843
started,bundle,org.eclipse.dltk.ui,1.0.0.me201003052220,"org.eclipse.dltk.ui",1299496353843
started,bundle,org.eclipse.wst.jsdt.atfdebug,0.0.1.me201003052220,"org.eclipse.wst.jsdt.atfdebug",1299496353859
started,bundle,org.jboss.tools.common,2.0.0.me201003052220,"org.jboss.tools.common",1299496353875
started,bundle,org.jboss.tools.common.model,2.0.0.me201003052220,"org.jboss.tools.common.model",1299496353890
started,bundle,org.jboss.tools.vpe,2.1.0.me201003052220,"org.jboss.tools.vpe",1299496353890
started,bundle,org.jboss.tools.jst.web.ui,2.0.0.me201003052220,"org.jboss.tools.jst.web.ui",1299496353890
started,bundle,org.jboss.tools.vpe.xulrunner,2.1.0.me201003052220,"org.jboss.tools.vpe.xulrunner",1299496353906
started,bundle,org.jboss.tools.jsf.ui,2.0.0.me201003052220,"org.jboss.tools.jsf.ui",1299496353921
closed,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1299496362234
stopped,bundle,org.eclipse.compare.win32,1.0.0.I20090430-0408,"org.eclipse.compare.win32",1299496363031
stopped,bundle,org.eclipse.pde.api.tools.ui,1.0.101.v20090820,"org.eclipse.pde.api.tools.ui",1299496363062
stopped,bundle,org.eclipse.datatools.enablement.sybase.asa.schemaobjecteditor.examples,2.5.0.200810071,"org.eclipse.datatools.enablement.sybase.asa.schemaobjecteditor.examples",1299496363156
stopped,bundle,org.eclipse.datatools.sqltools.debugger.core.ui,1.0.0.v200906022302,"org.eclipse.datatools.sqltools.debugger.core.ui",1299496363203
stopped,bundle,org.eclipse.jst.j2ee.xdoclet.runtime,1.1.102.v200805140135,"org.eclipse.jst.j2ee.xdoclet.runtime",1299496363250
