what,kind,bundleId,bundleVersion,description,time
started,bundle,com.genuitec.eclipse.easie.jetty4,8.5.0.me201003121946,"com.genuitec.eclipse.easie.jetty4",1299496274625
started,bundle,com.genuitec.eclipse.easie.jetty5,8.5.0.me201003121946,"com.genuitec.eclipse.easie.jetty5",1299496274625
started,bundle,com.genuitec.eclipse.easie.jetty6,8.5.0.me201003121946,"com.genuitec.eclipse.easie.jetty6",1299496274640
started,bundle,com.genuitec.eclipse.easie.jetty7,8.5.0.me201003231033,"com.genuitec.eclipse.easie.jetty7",1299496274656
started,bundle,com.genuitec.eclipse.easie.jonas,8.5.0.me201003190322,"com.genuitec.eclipse.easie.jonas",1299496274671
started,bundle,com.genuitec.eclipse.easie.jonas3,8.5.0.me201003121946,"com.genuitec.eclipse.easie.jonas3",1299496274687
started,bundle,com.genuitec.eclipse.easie.jonas4,8.5.0.me201003121946,"com.genuitec.eclipse.easie.jonas4",1299496274687
started,bundle,com.genuitec.eclipse.easie.jonas5,8.5.0.me201003121946,"com.genuitec.eclipse.easie.jonas5",1299496274703
started,bundle,com.genuitec.eclipse.easie.jrun,8.5.0.me201003190322,"com.genuitec.eclipse.easie.jrun",1299496274718
started,bundle,com.genuitec.eclipse.easie.jrun4,8.5.0.me201003121946,"com.genuitec.eclipse.easie.jrun4",1299496274734
started,bundle,com.genuitec.eclipse.easie.oracle,8.5.0.me201003190322,"com.genuitec.eclipse.easie.oracle",1299496274750
started,bundle,com.genuitec.eclipse.easie.oracle10,8.5.0.me201003121946,"com.genuitec.eclipse.easie.oracle10",1299496274750
started,bundle,com.genuitec.eclipse.easie.oracle9,8.5.0.me201003121946,"com.genuitec.eclipse.easie.oracle9",1299496274765
started,bundle,com.genuitec.eclipse.easie.orion1,8.5.0.me201003121946,"com.genuitec.eclipse.easie.orion1",1299496274765
started,bundle,com.genuitec.eclipse.easie.orion2,8.5.0.me201003121946,"com.genuitec.eclipse.easie.orion2",1299496274812
started,bundle,com.genuitec.eclipse.easie.resin,8.5.0.me201003190322,"com.genuitec.eclipse.easie.resin",1299496274828
started,bundle,com.genuitec.eclipse.easie.resin2,8.5.0.me201003121946,"com.genuitec.eclipse.easie.resin2",1299496274828
started,bundle,com.genuitec.eclipse.easie.resin3,8.5.0.me201003121946,"com.genuitec.eclipse.easie.resin3",1299496274843
started,bundle,com.genuitec.eclipse.easie.resin4,8.5.0.me201003121946,"com.genuitec.eclipse.easie.resin4",1299496274843
started,bundle,com.genuitec.eclipse.easie.sun,8.5.0.me201003190322,"com.genuitec.eclipse.easie.sun",1299496274859
started,bundle,com.genuitec.eclipse.easie.sun8,8.5.0.me201003121946,"com.genuitec.eclipse.easie.sun8",1299496274875
started,bundle,com.genuitec.eclipse.easie.sun81,8.5.0.me201003121946,"com.genuitec.eclipse.easie.sun81",1299496274875
started,bundle,com.genuitec.eclipse.easie.sun9,8.5.0.me201003121946,"com.genuitec.eclipse.easie.sun9",1299496274890
started,bundle,com.genuitec.eclipse.easie.sun91,8.5.0.me201003121946,"com.genuitec.eclipse.easie.sun91",1299496274890
started,bundle,com.genuitec.eclipse.easie.sunglassfish,8.5.0.me201003121946,"com.genuitec.eclipse.easie.sunglassfish",1299496274906
