what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"org.eclipse.ui.workbench",1299494503406
started,bundle,org.eclipse.ui.workbench.texteditor,3.5.0.v20090603,"org.eclipse.ui.workbench.texteditor",1299494503406
started,bundle,org.eclipse.wst.common.frameworks,1.1.300.v200904160730,"org.eclipse.wst.common.frameworks",1299494503406
started,bundle,org.eclipse.wst.common.project.facet.core,1.4.1.v200908111817,"org.eclipse.wst.common.project.facet.core",1299494503406
started,bundle,org.eclipse.wst.web,1.1.301.v200909021400,"org.eclipse.wst.web",1299494503406
started,bundle,org.eclipse.wst.ws.service.policy.ui,1.0.102.v200903070248,"org.eclipse.wst.ws.service.policy.ui",1299494503406
started,bundle,org.eclipse.jdt.core,3.5.2.v_981_R35x,"org.eclipse.jdt.core",1299494503406
started,bundle,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui",1299494503421
started,bundle,org.eclipse.jface,3.5.2.M20100120-0800,"org.eclipse.jface",1299494503421
started,bundle,org.eclipse.pde.ui,3.5.1.v201001121200,"org.eclipse.pde.ui",1299494503421
started,bundle,org.eclipse.team.cvs.ui,3.3.202.r35x_20090930-0800,"org.eclipse.team.cvs.ui",1299494503421
started,bundle,com.genuitec.eclipse.core.common,8.5.0.me201003250241,"com.genuitec.eclipse.core.common",1299494503421
started,bundle,com.genuitec.eclipse.core.common.platform,8.5.0.me201003101716,"com.genuitec.eclipse.core.common.platform",1299494503421
started,bundle,com.genuitec.eclipse.easie.core,8.5.0.me201003232017,"com.genuitec.eclipse.easie.core",1299494503421
started,bundle,com.genuitec.eclipse.web.imagepreviewer,8.5.0.me201003052220,"com.genuitec.eclipse.web.imagepreviewer",1299494503437
os,sysinfo,,,"win32",1299494503453
arch,sysinfo,,,"x86",1299494503453
ws,sysinfo,,,"win32",1299494503453
locale,sysinfo,,,"zh_CN",1299494503453
processors,sysinfo,,,"2",1299494503453
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1299494503453
java.runtime.version,sysinfo,,,"1.6.0_20-b02",1299494503453
java.specification.name,sysinfo,,,"Java Platform API Specification",1299494503453
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1299494503453
java.specification.version,sysinfo,,,"1.6",1299494503453
