what,kind,bundleId,bundleVersion,description,time
started,bundle,com.genuitec.eclipse.easie.jboss3,8.5.0.me201003121946,"com.genuitec.eclipse.easie.jboss3",1299494636562
started,bundle,com.genuitec.eclipse.easie.jboss4,8.5.0.me201003121946,"com.genuitec.eclipse.easie.jboss4",1299494636562
started,bundle,com.genuitec.eclipse.easie.jboss5,8.5.0.me201003121946,"com.genuitec.eclipse.easie.jboss5",1299494636578
started,bundle,com.genuitec.eclipse.easie.jboss6,8.5.0.me201003121946,"com.genuitec.eclipse.easie.jboss6",1299494636609
started,bundle,com.genuitec.eclipse.easie.jetty,8.5.0.me201003190322,"com.genuitec.eclipse.easie.jetty",1299494636609
started,bundle,com.genuitec.eclipse.easie.jetty4,8.5.0.me201003121946,"com.genuitec.eclipse.easie.jetty4",1299494636609
started,bundle,com.genuitec.eclipse.easie.jetty5,8.5.0.me201003121946,"com.genuitec.eclipse.easie.jetty5",1299494636609
started,bundle,com.genuitec.eclipse.easie.jetty6,8.5.0.me201003121946,"com.genuitec.eclipse.easie.jetty6",1299494636609
started,bundle,com.genuitec.eclipse.easie.jetty7,8.5.0.me201003231033,"com.genuitec.eclipse.easie.jetty7",1299494636625
started,bundle,com.genuitec.eclipse.easie.jonas,8.5.0.me201003190322,"com.genuitec.eclipse.easie.jonas",1299494636625
started,bundle,com.genuitec.eclipse.easie.jonas3,8.5.0.me201003121946,"com.genuitec.eclipse.easie.jonas3",1299494636656
started,bundle,com.genuitec.eclipse.easie.jonas4,8.5.0.me201003121946,"com.genuitec.eclipse.easie.jonas4",1299494636656
started,bundle,com.genuitec.eclipse.easie.jonas5,8.5.0.me201003121946,"com.genuitec.eclipse.easie.jonas5",1299494636656
started,bundle,com.genuitec.eclipse.easie.jrun,8.5.0.me201003190322,"com.genuitec.eclipse.easie.jrun",1299494636671
started,bundle,com.genuitec.eclipse.easie.jrun4,8.5.0.me201003121946,"com.genuitec.eclipse.easie.jrun4",1299494636671
started,bundle,com.genuitec.eclipse.easie.oracle,8.5.0.me201003190322,"com.genuitec.eclipse.easie.oracle",1299494636687
started,bundle,com.genuitec.eclipse.easie.oracle10,8.5.0.me201003121946,"com.genuitec.eclipse.easie.oracle10",1299494636687
started,bundle,com.genuitec.eclipse.easie.oracle9,8.5.0.me201003121946,"com.genuitec.eclipse.easie.oracle9",1299494636687
started,bundle,com.genuitec.eclipse.easie.orion1,8.5.0.me201003121946,"com.genuitec.eclipse.easie.orion1",1299494636703
started,bundle,com.genuitec.eclipse.easie.orion2,8.5.0.me201003121946,"com.genuitec.eclipse.easie.orion2",1299494636703
started,bundle,com.genuitec.eclipse.easie.resin,8.5.0.me201003190322,"com.genuitec.eclipse.easie.resin",1299494636718
started,bundle,com.genuitec.eclipse.easie.resin2,8.5.0.me201003121946,"com.genuitec.eclipse.easie.resin2",1299494636718
started,bundle,com.genuitec.eclipse.easie.resin3,8.5.0.me201003121946,"com.genuitec.eclipse.easie.resin3",1299494636734
started,bundle,com.genuitec.eclipse.easie.resin4,8.5.0.me201003121946,"com.genuitec.eclipse.easie.resin4",1299494636734
started,bundle,com.genuitec.eclipse.easie.sun,8.5.0.me201003190322,"com.genuitec.eclipse.easie.sun",1299494636750
