what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.ui.workbench.texteditor,3.5.0.v20090603,"org.eclipse.ui.workbench.texteditor",1299496351781
started,bundle,org.eclipse.wst.common.frameworks,1.1.300.v200904160730,"org.eclipse.wst.common.frameworks",1299496351812
started,bundle,org.eclipse.wst.common.project.facet.core,1.4.1.v200908111817,"org.eclipse.wst.common.project.facet.core",1299496351812
started,bundle,org.eclipse.wst.web,1.1.301.v200909021400,"org.eclipse.wst.web",1299496351859
started,bundle,org.eclipse.wst.ws.service.policy.ui,1.0.102.v200903070248,"org.eclipse.wst.ws.service.policy.ui",1299496351875
started,bundle,org.eclipse.jdt.core,3.5.2.v_981_R35x,"org.eclipse.jdt.core",1299496351937
started,bundle,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui",1299496351953
started,bundle,org.eclipse.jface,3.5.2.M20100120-0800,"org.eclipse.jface",1299496351953
started,bundle,org.eclipse.pde.ui,3.5.1.v201001121200,"org.eclipse.pde.ui",1299496352343
started,bundle,org.eclipse.team.cvs.ui,3.3.202.r35x_20090930-0800,"org.eclipse.team.cvs.ui",1299496352390
started,bundle,com.genuitec.eclipse.core,8.5.0.me201003250242,"com.genuitec.eclipse.core",1299496352406
started,bundle,com.genuitec.eclipse.core.common,8.5.0.me201003250241,"com.genuitec.eclipse.core.common",1299496352406
started,bundle,com.genuitec.eclipse.core.common.platform,8.5.0.me201003101716,"com.genuitec.eclipse.core.common.platform",1299496352421
started,bundle,com.genuitec.eclipse.easie.core,8.5.0.me201003232017,"com.genuitec.eclipse.easie.core",1299496352421
started,bundle,com.genuitec.eclipse.fileview,8.5.0.me201003052220,"com.genuitec.eclipse.fileview",1299496352437
started,bundle,com.genuitec.eclipse.j2eedt.core,8.5.0.me201003231033,"com.genuitec.eclipse.j2eedt.core",1299496352453
started,bundle,com.genuitec.myeclipse.perspective,8.5.0.me201003232017,"com.genuitec.myeclipse.perspective",1299496352453
started,bundle,com.iw.plugins.spindle.core,8.5.0.me201003161551,"com.iw.plugins.spindle.core",1299496352453
started,bundle,org.eclipse.draw2d,3.5.2.v20091126-1908,"org.eclipse.draw2d",1299496352453
started,bundle,org.springframework.ide.eclipse.aop.core,2.2.0.me201003052220,"org.springframework.ide.eclipse.aop.core",1299496352453
started,bundle,org.springframework.ide.eclipse.aop.ui,2.2.0.me201003052220,"org.springframework.ide.eclipse.aop.ui",1299496352453
started,bundle,org.springframework.ide.eclipse.beans.core,2.2.0.me201003052220,"org.springframework.ide.eclipse.beans.core",1299496352453
started,bundle,org.springframework.ide.eclipse.beans.ui,2.2.0.me201003052220,"org.springframework.ide.eclipse.beans.ui",1299496352453
started,bundle,org.springframework.ide.eclipse.core,2.2.0.me201003052220,"org.springframework.ide.eclipse.core",1299496352453
started,bundle,org.springframework.ide.eclipse.javaconfig.ui,2.2.0.me201003052220,"org.springframework.ide.eclipse.javaconfig.ui",1299496352453
